"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US34001011300","Census Tract 113; Atlantic County; New Jersey","79697","15214",
"1400000US34001011401","Census Tract 114.01; Atlantic County; New Jersey","107517","16954",
"1400000US34001011403","Census Tract 114.03; Atlantic County; New Jersey","72692","23326",
"1400000US34001011404","Census Tract 114.04; Atlantic County; New Jersey","75579","11383",
"1400000US34001011500","Census Tract 115; Atlantic County; New Jersey","75813","11273",
"1400000US34001011600","Census Tract 116; Atlantic County; New Jersey","81717","7360",
"1400000US34001011702","Census Tract 117.02; Atlantic County; New Jersey","63508","20952",
"1400000US34001011703","Census Tract 117.03; Atlantic County; New Jersey","89375","31461",
"1400000US34001011704","Census Tract 117.04; Atlantic County; New Jersey","72350","39753",
"1400000US34001011803","Census Tract 118.03; Atlantic County; New Jersey","82009","22262",
"1400000US34001011804","Census Tract 118.04; Atlantic County; New Jersey","101321","11932",
"1400000US34001011805","Census Tract 118.05; Atlantic County; New Jersey","106641","11454",
"1400000US34001011806","Census Tract 118.06; Atlantic County; New Jersey","132160","20097",
"1400000US34001011807","Census Tract 118.07; Atlantic County; New Jersey","132014","14558",
"1400000US34001011808","Census Tract 118.08; Atlantic County; New Jersey","87500","29021",
"1400000US34001011901","Census Tract 119.01; Atlantic County; New Jersey","75417","33099",
"1400000US34001011902","Census Tract 119.02; Atlantic County; New Jersey","43489","11520",
"1400000US34001012000","Census Tract 120; Atlantic County; New Jersey","60417","15470",
"1400000US34001012100","Census Tract 121; Atlantic County; New Jersey","59718","15660",
"1400000US34001012200","Census Tract 122; Atlantic County; New Jersey","52477","14727",
"1400000US34001012302","Census Tract 123.02; Atlantic County; New Jersey","114880","22611",
"1400000US34001012401","Census Tract 124.01; Atlantic County; New Jersey","91982","26772",
"1400000US34001012402","Census Tract 124.02; Atlantic County; New Jersey","118929","28445",
"1400000US34001012501","Census Tract 125.01; Atlantic County; New Jersey","114375","40870",
"1400000US34001012502","Census Tract 125.02; Atlantic County; New Jersey","136528","52848",
"1400000US34001012602","Census Tract 126.02; Atlantic County; New Jersey","164375","31582",
"1400000US34001012701","Census Tract 127.01; Atlantic County; New Jersey","92179","14242",
"1400000US34001012702","Census Tract 127.02; Atlantic County; New Jersey","56445","14659",
"1400000US34001012801","Census Tract 128.01; Atlantic County; New Jersey","53067","10957",
"1400000US34001012802","Census Tract 128.02; Atlantic County; New Jersey","74839","21763",
"1400000US34001013000","Census Tract 130; Atlantic County; New Jersey","135122","20272",
"1400000US34001013101","Census Tract 131.01; Atlantic County; New Jersey","204671","36170",
"1400000US34001013102","Census Tract 131.02; Atlantic County; New Jersey","108818","7573",
"1400000US34001013201","Census Tract 132.01; Atlantic County; New Jersey","59881","22902",
"1400000US34001013202","Census Tract 132.02; Atlantic County; New Jersey","65375","15038",
"1400000US34001013301","Census Tract 133.01; Atlantic County; New Jersey","77339","28482",
"1400000US34001013302","Census Tract 133.02; Atlantic County; New Jersey","82614","30162",
"1400000US34001013500","Census Tract 135; Atlantic County; New Jersey","133125","49928",
"1400000US34001983400","Census Tract 9834; Atlantic County; New Jersey","-","**",
"1400000US34001990000","Census Tract 9900; Atlantic County; New Jersey","-","**",
"1400000US34003001001","Census Tract 10.01; Bergen County; New Jersey","162335","19187",
"1400000US34003001002","Census Tract 10.02; Bergen County; New Jersey","146512","23655",
"1400000US34003002100","Census Tract 21; Bergen County; New Jersey","246944","77017",
"1400000US34003002200","Census Tract 22; Bergen County; New Jersey","128542","23999",
"1400000US34003002300","Census Tract 23; Bergen County; New Jersey","178311","20365",
"1400000US34003003100","Census Tract 31; Bergen County; New Jersey","123125","42087",
"1400000US34003003200","Census Tract 32; Bergen County; New Jersey","99472","15744",
"1400000US34003003300","Census Tract 33; Bergen County; New Jersey","141136","21116",
"1400000US34003003401","Census Tract 34.01; Bergen County; New Jersey","144375","53880",
"1400000US34003003402","Census Tract 34.02; Bergen County; New Jersey","156845","24195",
"1400000US34003003500","Census Tract 35; Bergen County; New Jersey","79327","53532",
"1400000US34003004001","Census Tract 40.01; Bergen County; New Jersey","106438","22365",
"1400000US34003004002","Census Tract 40.02; Bergen County; New Jersey","97750","24749",
"1400000US34003005000","Census Tract 50; Bergen County; New Jersey","115444","38476",
"1400000US34003006101","Census Tract 61.01; Bergen County; New Jersey","95667","44615",
"1400000US34003006102","Census Tract 61.02; Bergen County; New Jersey","81250","55875",
"1400000US34003006201","Census Tract 62.01; Bergen County; New Jersey","71125","53098",
"1400000US34003006202","Census Tract 62.02; Bergen County; New Jersey","110755","6557",
"1400000US34003006301","Census Tract 63.01; Bergen County; New Jersey","57345","21543",
"1400000US34003006302","Census Tract 63.02; Bergen County; New Jersey","109559","36457",
"1400000US34003007001","Census Tract 70.01; Bergen County; New Jersey","161607","26477",
"1400000US34003007002","Census Tract 70.02; Bergen County; New Jersey","237100","54272",
"1400000US34003008001","Census Tract 80.01; Bergen County; New Jersey","174375","30086",
"1400000US34003008002","Census Tract 80.02; Bergen County; New Jersey","157900","26802",
"1400000US34003009100","Census Tract 91; Bergen County; New Jersey","208036","55973",
"1400000US34003009200","Census Tract 92; Bergen County; New Jersey","236765","20085",
"1400000US34003010100","Census Tract 101; Bergen County; New Jersey","130362","30208",
"1400000US34003010200","Census Tract 102; Bergen County; New Jersey","107005","44619",
"1400000US34003010300","Census Tract 103; Bergen County; New Jersey","127202","17889",
"1400000US34003011100","Census Tract 111; Bergen County; New Jersey","114904","29561",
"1400000US34003011200","Census Tract 112; Bergen County; New Jersey","82774","27788",
"1400000US34003011300","Census Tract 113; Bergen County; New Jersey","94167","41329",
"1400000US34003011400","Census Tract 114; Bergen County; New Jersey","101979","13035",
"1400000US34003012001","Census Tract 120.01; Bergen County; New Jersey","88973","25686",
"1400000US34003012002","Census Tract 120.02; Bergen County; New Jersey","104712","14487",
"1400000US34003013002","Census Tract 130.02; Bergen County; New Jersey","106199","10596",
"1400000US34003013003","Census Tract 130.03; Bergen County; New Jersey","125515","23224",
"1400000US34003013004","Census Tract 130.04; Bergen County; New Jersey","127236","46546",
"1400000US34003014000","Census Tract 140; Bergen County; New Jersey","155536","24565",
"1400000US34003015100","Census Tract 151; Bergen County; New Jersey","195223","25920",
"1400000US34003015200","Census Tract 152; Bergen County; New Jersey","97546","44984",
"1400000US34003015300","Census Tract 153; Bergen County; New Jersey","100625","55905",
"1400000US34003015401","Census Tract 154.01; Bergen County; New Jersey","60809","27646",
"1400000US34003015402","Census Tract 154.02; Bergen County; New Jersey","86083","10539",
"1400000US34003015500","Census Tract 155; Bergen County; New Jersey","140764","40451",
"1400000US34003016000","Census Tract 160; Bergen County; New Jersey","230611","22045",
"1400000US34003017101","Census Tract 171.01; Bergen County; New Jersey","154583","32174",
"1400000US34003017102","Census Tract 171.02; Bergen County; New Jersey","122282","30433",
"1400000US34003017200","Census Tract 172; Bergen County; New Jersey","94789","19096",
"1400000US34003017301","Census Tract 173.01; Bergen County; New Jersey","182188","88855",
"1400000US34003017302","Census Tract 173.02; Bergen County; New Jersey","153991","11918",
"1400000US34003017400","Census Tract 174; Bergen County; New Jersey","184265","15400",
"1400000US34003017501","Census Tract 175.01; Bergen County; New Jersey","134707","31177",
"1400000US34003017502","Census Tract 175.02; Bergen County; New Jersey","112094","36544",
"1400000US34003018101","Census Tract 181.01; Bergen County; New Jersey","47005","19629",
"1400000US34003018102","Census Tract 181.02; Bergen County; New Jersey","63120","3974",
"1400000US34003018200","Census Tract 182; Bergen County; New Jersey","77500","26474",
"1400000US34003019102","Census Tract 191.02; Bergen County; New Jersey","105208","17127",
"1400000US34003019103","Census Tract 191.03; Bergen County; New Jersey","74951","10918",
"1400000US34003019104","Census Tract 191.04; Bergen County; New Jersey","115607","17192",
"1400000US34003019202","Census Tract 192.02; Bergen County; New Jersey","123906","34905",
"1400000US34003019203","Census Tract 192.03; Bergen County; New Jersey","98603","25403",
"1400000US34003019204","Census Tract 192.04; Bergen County; New Jersey","76667","21128",
"1400000US34003019303","Census Tract 193.03; Bergen County; New Jersey","100191","44900",
"1400000US34003019304","Census Tract 193.04; Bergen County; New Jersey","134519","41431",
"1400000US34003019305","Census Tract 193.05; Bergen County; New Jersey","143832","26817",
"1400000US34003019306","Census Tract 193.06; Bergen County; New Jersey","191477","25272",
"1400000US34003020100","Census Tract 201; Bergen County; New Jersey","175517","46550",
"1400000US34003020200","Census Tract 202; Bergen County; New Jersey","250,000+","***",
"1400000US34003021101","Census Tract 211.01; Bergen County; New Jersey","81588","15620",
"1400000US34003021102","Census Tract 211.02; Bergen County; New Jersey","89054","19472",
"1400000US34003021200","Census Tract 212; Bergen County; New Jersey","107119","11587",
"1400000US34003021300","Census Tract 213; Bergen County; New Jersey","80320","18841",
"1400000US34003021400","Census Tract 214; Bergen County; New Jersey","59180","17636",
"1400000US34003021500","Census Tract 215; Bergen County; New Jersey","79256","10234",
"1400000US34003021600","Census Tract 216; Bergen County; New Jersey","71637","10556",
"1400000US34003022100","Census Tract 221; Bergen County; New Jersey","182917","23318",
"1400000US34003022200","Census Tract 222; Bergen County; New Jersey","243233","43794",
"1400000US34003023100","Census Tract 231; Bergen County; New Jersey","96104","32431",
"1400000US34003023201","Census Tract 232.01; Bergen County; New Jersey","88515","22709",
"1400000US34003023202","Census Tract 232.02; Bergen County; New Jersey","87207","10699",
"1400000US34003023301","Census Tract 233.01; Bergen County; New Jersey","129291","32717",
"1400000US34003023303","Census Tract 233.03; Bergen County; New Jersey","77067","20202",
"1400000US34003023304","Census Tract 233.04; Bergen County; New Jersey","107143","29928",
"1400000US34003023401","Census Tract 234.01; Bergen County; New Jersey","86095","8220",
"1400000US34003023402","Census Tract 234.02; Bergen County; New Jersey","81818","24640",
"1400000US34003023501","Census Tract 235.01; Bergen County; New Jersey","67250","13122",
"1400000US34003023502","Census Tract 235.02; Bergen County; New Jersey","86053","24980",
"1400000US34003023601","Census Tract 236.01; Bergen County; New Jersey","91250","36319",
"1400000US34003023602","Census Tract 236.02; Bergen County; New Jersey","61246","4025",
"1400000US34003024100","Census Tract 241; Bergen County; New Jersey","205385","33897",
"1400000US34003024200","Census Tract 242; Bergen County; New Jersey","180500","28528",
"1400000US34003025100","Census Tract 251; Bergen County; New Jersey","95234","33746",
"1400000US34003025200","Census Tract 252; Bergen County; New Jersey","134402","26938",
"1400000US34003026100","Census Tract 261; Bergen County; New Jersey","191500","26874",
"1400000US34003026200","Census Tract 262; Bergen County; New Jersey","183553","25291",
"1400000US34003027000","Census Tract 270; Bergen County; New Jersey","250,000+","***",
"1400000US34003028001","Census Tract 280.01; Bergen County; New Jersey","111833","23612",
"1400000US34003028002","Census Tract 280.02; Bergen County; New Jersey","173262","57845",
"1400000US34003029100","Census Tract 291; Bergen County; New Jersey","71587","15458",
"1400000US34003029200","Census Tract 292; Bergen County; New Jersey","105441","33282",
"1400000US34003030100","Census Tract 301; Bergen County; New Jersey","85436","23516",
"1400000US34003030201","Census Tract 302.01; Bergen County; New Jersey","81923","20679",
"1400000US34003030202","Census Tract 302.02; Bergen County; New Jersey","66827","34197",
"1400000US34003030300","Census Tract 303; Bergen County; New Jersey","90156","23909",
"1400000US34003030401","Census Tract 304.01; Bergen County; New Jersey","92036","30766",
"1400000US34003030402","Census Tract 304.02; Bergen County; New Jersey","127372","19011",
"1400000US34003031100","Census Tract 311; Bergen County; New Jersey","114778","28280",
"1400000US34003031200","Census Tract 312; Bergen County; New Jersey","93981","23532",
"1400000US34003031300","Census Tract 313; Bergen County; New Jersey","116698","20039",
"1400000US34003031400","Census Tract 314; Bergen County; New Jersey","89943","16116",
"1400000US34003032102","Census Tract 321.02; Bergen County; New Jersey","136950","33580",
"1400000US34003032103","Census Tract 321.03; Bergen County; New Jersey","105184","26257",
"1400000US34003032104","Census Tract 321.04; Bergen County; New Jersey","138571","30257",
"1400000US34003032201","Census Tract 322.01; Bergen County; New Jersey","137522","27095",
"1400000US34003032202","Census Tract 322.02; Bergen County; New Jersey","138000","12553",
"1400000US34003033100","Census Tract 331; Bergen County; New Jersey","139101","9890",
"1400000US34003033200","Census Tract 332; Bergen County; New Jersey","104797","38470",
"1400000US34003033300","Census Tract 333; Bergen County; New Jersey","93750","21503",
"1400000US34003034001","Census Tract 340.01; Bergen County; New Jersey","110450","53346",
"1400000US34003034002","Census Tract 340.02; Bergen County; New Jersey","170035","27298",
"1400000US34003035100","Census Tract 351; Bergen County; New Jersey","178269","20952",
"1400000US34003035200","Census Tract 352; Bergen County; New Jersey","213981","52635",
"1400000US34003036100","Census Tract 361; Bergen County; New Jersey","82669","26970",
"1400000US34003036200","Census Tract 362; Bergen County; New Jersey","90260","27756",
"1400000US34003037100","Census Tract 371; Bergen County; New Jersey","123871","7920",
"1400000US34003037201","Census Tract 372.01; Bergen County; New Jersey","157850","29861",
"1400000US34003037203","Census Tract 372.03; Bergen County; New Jersey","130924","12981",
"1400000US34003037204","Census Tract 372.04; Bergen County; New Jersey","70441","8957",
"1400000US34003038100","Census Tract 381; Bergen County; New Jersey","103860","16277",
"1400000US34003038200","Census Tract 382; Bergen County; New Jersey","74216","9518",
"1400000US34003038300","Census Tract 383; Bergen County; New Jersey","115810","19717",
"1400000US34003039100","Census Tract 391; Bergen County; New Jersey","138272","25163",
"1400000US34003039200","Census Tract 392; Bergen County; New Jersey","187188","18901",
"1400000US34003039300","Census Tract 393; Bergen County; New Jersey","134044","32112",
"1400000US34003040001","Census Tract 400.01; Bergen County; New Jersey","231042","25964",
"1400000US34003040002","Census Tract 400.02; Bergen County; New Jersey","211500","46860",
"1400000US34003041100","Census Tract 411; Bergen County; New Jersey","84757","28071",
"1400000US34003041200","Census Tract 412; Bergen County; New Jersey","98750","40782",
"1400000US34003041301","Census Tract 413.01; Bergen County; New Jersey","98045","17429",
"1400000US34003041302","Census Tract 413.02; Bergen County; New Jersey","94808","15856",
"1400000US34003042101","Census Tract 421.01; Bergen County; New Jersey","123250","31366",
"1400000US34003042102","Census Tract 421.02; Bergen County; New Jersey","163114","21188",
"1400000US34003042301","Census Tract 423.01; Bergen County; New Jersey","123182","59954",
"1400000US34003042302","Census Tract 423.02; Bergen County; New Jersey","159173","12376",
"1400000US34003042400","Census Tract 424; Bergen County; New Jersey","149342","38475",
"1400000US34003042500","Census Tract 425; Bergen County; New Jersey","101068","22616",
"1400000US34003043001","Census Tract 430.01; Bergen County; New Jersey","221838","20239",
"1400000US34003043002","Census Tract 430.02; Bergen County; New Jersey","160589","28240",
"1400000US34003044100","Census Tract 441; Bergen County; New Jersey","191406","39543",
"1400000US34003044201","Census Tract 442.01; Bergen County; New Jersey","201991","26879",
"1400000US34003044202","Census Tract 442.02; Bergen County; New Jersey","112625","24734",
"1400000US34003045101","Census Tract 451.01; Bergen County; New Jersey","109950","20809",
"1400000US34003045102","Census Tract 451.02; Bergen County; New Jersey","125021","21734",
"1400000US34003045200","Census Tract 452; Bergen County; New Jersey","129620","50416",
"1400000US34003046100","Census Tract 461; Bergen County; New Jersey","94453","14363",
"1400000US34003046200","Census Tract 462; Bergen County; New Jersey","107802","24384",
"1400000US34003046300","Census Tract 463; Bergen County; New Jersey","105130","21174",
"1400000US34003047100","Census Tract 471; Bergen County; New Jersey","202625","36515",
"1400000US34003047200","Census Tract 472; Bergen County; New Jersey","208700","59564",
"1400000US34003047300","Census Tract 473; Bergen County; New Jersey","250,000+","***",
"1400000US34003047400","Census Tract 474; Bergen County; New Jersey","160278","47485",
"1400000US34003047500","Census Tract 475; Bergen County; New Jersey","224556","38166",
"1400000US34003048100","Census Tract 481; Bergen County; New Jersey","108259","18968",
"1400000US34003048200","Census Tract 482; Bergen County; New Jersey","215202","30672",
"1400000US34003049001","Census Tract 490.01; Bergen County; New Jersey","239583","25501",
"1400000US34003049002","Census Tract 490.02; Bergen County; New Jersey","188417","46852",
"1400000US34003050000","Census Tract 500; Bergen County; New Jersey","110380","31747",
"1400000US34003051100","Census Tract 511; Bergen County; New Jersey","156488","37985",
"1400000US34003051200","Census Tract 512; Bergen County; New Jersey","170658","38606",
"1400000US34003051300","Census Tract 513; Bergen County; New Jersey","117321","17642",
"1400000US34003051400","Census Tract 514; Bergen County; New Jersey","175102","15863",
"1400000US34003052100","Census Tract 521; Bergen County; New Jersey","126321","28796",
"1400000US34003052200","Census Tract 522; Bergen County; New Jersey","130038","10681",
"1400000US34003053100","Census Tract 531; Bergen County; New Jersey","212143","97827",
"1400000US34003053201","Census Tract 532.01; Bergen County; New Jersey","250,000+","***",
"1400000US34003053202","Census Tract 532.02; Bergen County; New Jersey","250,000+","***",
"1400000US34003054101","Census Tract 541.01; Bergen County; New Jersey","157705","30124",
"1400000US34003054102","Census Tract 541.02; Bergen County; New Jersey","125115","13844",
"1400000US34003054200","Census Tract 542; Bergen County; New Jersey","106607","26228",
"1400000US34003054300","Census Tract 543; Bergen County; New Jersey","185339","58609",
"1400000US34003054400","Census Tract 544; Bergen County; New Jersey","147929","13692",
"1400000US34003054500","Census Tract 545; Bergen County; New Jersey","141157","14452",
"1400000US34003054601","Census Tract 546.01; Bergen County; New Jersey","112759","28576",
"1400000US34003054602","Census Tract 546.02; Bergen County; New Jersey","148708","20804",
"1400000US34003055100","Census Tract 551; Bergen County; New Jersey","247292","58763",
"1400000US34003055201","Census Tract 552.01; Bergen County; New Jersey","213147","56665",
"1400000US34003055202","Census Tract 552.02; Bergen County; New Jersey","195375","36613",
"1400000US34003056100","Census Tract 561; Bergen County; New Jersey","166875","36653",
"1400000US34003056200","Census Tract 562; Bergen County; New Jersey","183092","36730",
"1400000US34003057101","Census Tract 571.01; Bergen County; New Jersey","79211","17543",
"1400000US34003057102","Census Tract 571.02; Bergen County; New Jersey","102734","4131",
"1400000US34003057200","Census Tract 572; Bergen County; New Jersey","65272","17691",
"1400000US34003058100","Census Tract 581; Bergen County; New Jersey","155000","37266",
"1400000US34003058200","Census Tract 582; Bergen County; New Jersey","183531","17146",
"1400000US34003059100","Census Tract 591; Bergen County; New Jersey","161083","52814",
"1400000US34003059200","Census Tract 592; Bergen County; New Jersey","166711","23540",
"1400000US34003060001","Census Tract 600.01; Bergen County; New Jersey","140211","19563",
"1400000US34003060002","Census Tract 600.02; Bergen County; New Jersey","131927","27580",
"1400000US34003061100","Census Tract 611; Bergen County; New Jersey","204000","46120",
"1400000US34003061200","Census Tract 612; Bergen County; New Jersey","233409","43202",
"1400000US34003061300","Census Tract 613; Bergen County; New Jersey","241536","38705",
"1400000US34003061400","Census Tract 614; Bergen County; New Jersey","178309","21892",
"1400000US34005700102","Census Tract 7001.02; Burlington County; New Jersey","98086","6616",
"1400000US34005700103","Census Tract 7001.03; Burlington County; New Jersey","90517","4161",
"1400000US34005700104","Census Tract 7001.04; Burlington County; New Jersey","80219","19523",
"1400000US34005700200","Census Tract 7002; Burlington County; New Jersey","121198","9549",
"1400000US34005700303","Census Tract 7003.03; Burlington County; New Jersey","106225","25764",
"1400000US34005700304","Census Tract 7003.04; Burlington County; New Jersey","111042","14787",
"1400000US34005700305","Census Tract 7003.05; Burlington County; New Jersey","127083","16269",
"1400000US34005700306","Census Tract 7003.06; Burlington County; New Jersey","131486","6179",
"1400000US34005700307","Census Tract 7003.07; Burlington County; New Jersey","173286","10268",
"1400000US34005700401","Census Tract 7004.01; Burlington County; New Jersey","103125","7899",
"1400000US34005700402","Census Tract 7004.02; Burlington County; New Jersey","86837","7335",
"1400000US34005700403","Census Tract 7004.03; Burlington County; New Jersey","90357","6881",
"1400000US34005700405","Census Tract 7004.05; Burlington County; New Jersey","86453","8172",
"1400000US34005700407","Census Tract 7004.07; Burlington County; New Jersey","49414","16770",
"1400000US34005700408","Census Tract 7004.08; Burlington County; New Jersey","72857","17883",
"1400000US34005700501","Census Tract 7005.01; Burlington County; New Jersey","130899","17205",
"1400000US34005700502","Census Tract 7005.02; Burlington County; New Jersey","123843","35103",
"1400000US34005700503","Census Tract 7005.03; Burlington County; New Jersey","154205","12889",
"1400000US34005700504","Census Tract 7005.04; Burlington County; New Jersey","171339","37049",
"1400000US34005700505","Census Tract 7005.05; Burlington County; New Jersey","234400","36189",
"1400000US34005700602","Census Tract 7006.02; Burlington County; New Jersey","109661","15457",
"1400000US34005700603","Census Tract 7006.03; Burlington County; New Jersey","89247","15625",
"1400000US34005700605","Census Tract 7006.05; Burlington County; New Jersey","127821","36670",
"1400000US34005700701","Census Tract 7007.01; Burlington County; New Jersey","98935","47415",
"1400000US34005700702","Census Tract 7007.02; Burlington County; New Jersey","85411","4906",
"1400000US34005700703","Census Tract 7007.03; Burlington County; New Jersey","50893","35929",
"1400000US34005700800","Census Tract 7008; Burlington County; New Jersey","78710","10047",
"1400000US34005700900","Census Tract 7009; Burlington County; New Jersey","89458","12220",
"1400000US34005701001","Census Tract 7010.01; Burlington County; New Jersey","59219","49411",
"1400000US34005701002","Census Tract 7010.02; Burlington County; New Jersey","88570","10721",
"1400000US34005701102","Census Tract 7011.02; Burlington County; New Jersey","101029","30945",
"1400000US34005701103","Census Tract 7011.03; Burlington County; New Jersey","109852","30662",
"1400000US34005701104","Census Tract 7011.04; Burlington County; New Jersey","108534","11630",
"1400000US34005701105","Census Tract 7011.05; Burlington County; New Jersey","85719","26992",
"1400000US34005701201","Census Tract 7012.01; Burlington County; New Jersey","95667","33229",
"1400000US34005701203","Census Tract 7012.03; Burlington County; New Jersey","69487","22212",
"1400000US34005701204","Census Tract 7012.04; Burlington County; New Jersey","71054","21053",
"1400000US34005701205","Census Tract 7012.05; Burlington County; New Jersey","98042","11988",
"1400000US34005701301","Census Tract 7013.01; Burlington County; New Jersey","85219","11205",
"1400000US34005701302","Census Tract 7013.02; Burlington County; New Jersey","79500","48454",
"1400000US34005701303","Census Tract 7013.03; Burlington County; New Jersey","132361","27125",
"1400000US34005701401","Census Tract 7014.01; Burlington County; New Jersey","176250","35050",
"1400000US34005701402","Census Tract 7014.02; Burlington County; New Jersey","71587","12148",
"1400000US34005701502","Census Tract 7015.02; Burlington County; New Jersey","100559","11537",
"1400000US34005701700","Census Tract 7017; Burlington County; New Jersey","103375","22351",
"1400000US34005702101","Census Tract 7021.01; Burlington County; New Jersey","73189","24113",
"1400000US34005702203","Census Tract 7022.03; Burlington County; New Jersey","74972","10807",
"1400000US34005702204","Census Tract 7022.04; Burlington County; New Jersey","89102","23147",
"1400000US34005702206","Census Tract 7022.06; Burlington County; New Jersey","79107","16442",
"1400000US34005702207","Census Tract 7022.07; Burlington County; New Jersey","56420","16056",
"1400000US34005702208","Census Tract 7022.08; Burlington County; New Jersey","118506","9610",
"1400000US34005702209","Census Tract 7022.09; Burlington County; New Jersey","79183","4278",
"1400000US34005702210","Census Tract 7022.10; Burlington County; New Jersey","70750","7815",
"1400000US34005702300","Census Tract 7023; Burlington County; New Jersey","90899","3958",
"1400000US34005702400","Census Tract 7024; Burlington County; New Jersey","146157","8153",
"1400000US34005702500","Census Tract 7025; Burlington County; New Jersey","110000","18846",
"1400000US34005702601","Census Tract 7026.01; Burlington County; New Jersey","91385","13536",
"1400000US34005702603","Census Tract 7026.03; Burlington County; New Jersey","72976","10014",
"1400000US34005702701","Census Tract 7027.01; Burlington County; New Jersey","117874","4234",
"1400000US34005702702","Census Tract 7027.02; Burlington County; New Jersey","130346","24259",
"1400000US34005702801","Census Tract 7028.01; Burlington County; New Jersey","104420","9162",
"1400000US34005702802","Census Tract 7028.02; Burlington County; New Jersey","95536","13835",
"1400000US34005702803","Census Tract 7028.03; Burlington County; New Jersey","123802","31670",
"1400000US34005702804","Census Tract 7028.04; Burlington County; New Jersey","88500","18459",
"1400000US34005702805","Census Tract 7028.05; Burlington County; New Jersey","84788","26755",
"1400000US34005702806","Census Tract 7028.06; Burlington County; New Jersey","89940","27648",
"1400000US34005702807","Census Tract 7028.07; Burlington County; New Jersey","99205","22974",
"1400000US34005702808","Census Tract 7028.08; Burlington County; New Jersey","98173","17407",
"1400000US34005702809","Census Tract 7028.09; Burlington County; New Jersey","100556","43862",
"1400000US34005702810","Census Tract 7028.10; Burlington County; New Jersey","89841","24828",
"1400000US34005702811","Census Tract 7028.11; Burlington County; New Jersey","106579","10348",
"1400000US34005702905","Census Tract 7029.05; Burlington County; New Jersey","111923","13576",
"1400000US34005702906","Census Tract 7029.06; Burlington County; New Jersey","121339","19912",
"1400000US34005702907","Census Tract 7029.07; Burlington County; New Jersey","111862","31640",
"1400000US34005702908","Census Tract 7029.08; Burlington County; New Jersey","120231","16759",
"1400000US34005702909","Census Tract 7029.09; Burlington County; New Jersey","121471","17636",
"1400000US34005702910","Census Tract 7029.10; Burlington County; New Jersey","132344","25928",
"1400000US34005702913","Census Tract 7029.13; Burlington County; New Jersey","113433","14591",
"1400000US34005702914","Census Tract 7029.14; Burlington County; New Jersey","129647","48577",
